Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v3/training_v3_f24_3.pth,v3,f_24,10000,1,[ 1.26271177 -0.92846903],[-2.80355733  2.32835582],5.20975,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,10000,2,[ 1.26433657 -0.92906009],[-2.69358288  2.98277696],5.56485,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,10000,3,[ 1.26431801 -0.92970095],[-2.57577719  3.17464319],5.62067,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,0,[ 1.43395522 -1.19923158],[ 1.30835906 -1.15355239],0.13364,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,1,[-2.79581738  5.        ],[-2.80355733  2.32835582],2.67166,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,2,[ 1.43366674 -1.20015097],[-2.69358288  2.98277696],5.87631,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,3,[ 1.43341404 -1.19885884],[-2.57577719  3.17464319],5.93305,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,0,[-2.11053548  2.40859216],[ 1.30835906 -1.15355239],4.93738,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,1,[-2.1153822   2.41592045],[-2.80355733  2.32835582],0.69372,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,2,[ 1.15432236 -0.76324229],[-2.69358288  2.98277696],5.3702,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,3,[ 1.13331309 -0.73203866],[-2.57577719  3.17464319],5.38698,PSO
